event,label,background,composite,P_rated,V_ref,I_rated,C_bus,L_line,noise_frac,adc_bits,R_f,arc_place,t_ramp,smoothed,T1,T2,sched_tier,W_ms,di_end,di_max,didt_max,t_rise,dv_early,di_early,v_sag_end,v_min,r_dyn,collapse,spec_i,spec_v,has_period,period_strength,n_tiers,T1_est,T2_est,phase_err_t1,phase_err_t2,phase_err,resid_period,onset_found,t_on_rel,decision
00774,bolted_pp,train,False,727585.0973010082,817.9773484888084,889.4929653555841,0.025157991233406785,3.261515750972512e-05,0.00323455003230349,14,0.0013372085427360366,,0.005911279866219642,False,1.5439521320940264,0.0,0,0.5,1.0771083698322852,1.0880435715168273,0.018311432759323242,0.07100000000000001,0.33927916615564974,0.24485442371973057,0.9641335301863911,-0.0029486966744885898,0.8942825760052078,1.0,1.5856123289306248,1.974231414619452,1.0,0.4997688081658598,1.0,1.5114,0.0,0.31084855101249875,,0.31084855101249875,1.0752358863186913,1.0,0.0031697646436512628,TRIP
00774,bolted_pp,train,False,727585.0973010082,817.9773484888084,889.4929653555841,0.025157991233406785,3.261515750972512e-05,0.00323455003230349,14,0.0013372085427360366,,0.005911279866219642,False,1.5439521320940264,0.0,0,1.0,1.0780945220675915,1.0880435715168273,0.018311432759323242,0.07100000000000001,0.33927916615564974,0.24485442371973057,0.9640897183924295,-0.0029486966744885898,0.8934247173687735,1.0,1.6922602418834605,2.092248577425835,1.0,0.4997688081658598,1.0,1.5114,0.0,0.31084855101249875,,0.31084855101249875,1.0688658579782382,1.0,0.0031697646436512628,TRIP
00775,bolted_pp,flat,False,113808.44257739725,796.858291656488,142.8214323287209,0.019240728381665396,1.5317142365579326e-06,0.0013093568433931201,12,0.006665850541639757,,0.019853800349076918,True,0.0,0.0,0,0.25,1.3364013349807278,1.3385794662787747,0.1239442648192805,0.014,0.32516275989146526,1.3381591539974036,0.8282880668232409,0.14516658547763198,0.6193264842487815,1.0,2.11086860143757,2.3919014392380826,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0030000000185020914,TRIP
00775,bolted_pp,flat,False,113808.44257739725,796.858291656488,142.8214323287209,0.019240728381665396,1.5317142365579326e-06,0.0013093568433931201,12,0.006665850541639757,,0.019853800349076918,True,0.0,0.0,0,0.5,1.3361780885927264,1.3385794662787747,0.1239442648192805,0.014,0.32516275989146526,1.3381591539974036,0.9543479414881112,0.026506526222799677,0.7137029462489074,1.0,2.1083740995225413,2.145619036713313,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0030000000185020914,TRIP
00775,bolted_pp,flat,False,113808.44257739725,796.858291656488,142.8214323287209,0.019240728381665396,1.5317142365579326e-06,0.0013093568433931201,12,0.006665850541639757,,0.019853800349076918,True,0.0,0.0,0,1.0,1.336065081095778,1.338953068885909,0.1239442648192805,0.014,0.32516275989146526,1.3381591539974036,0.9813701888619952,0.0033287986134264078,0.7339733889824746,1.0,1.9845823057959295,2.374112206608953,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0030000000185020914,TRIP
00776,bolted_pp,flat,False,274275.9311204138,835.2159946533616,328.38922251991374,0.0031283690379689815,2.6599026351315693e-06,0.0006819768930250638,12,0.005022642670346842,,0.001449786222133618,False,0.0,0.0,0,0.25,1.20733341502986,1.2086742975243718,0.07291945314363045,0.02,0.24072468733670965,1.2068440841749346,0.9618916788776137,-0.00044413332915964424,0.7960482321461282,1.0,2.5158949936301775,2.938820099651534,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.006500000018498653,TRIP
00776,bolted_pp,flat,False,274275.9311204138,835.2159946533616,328.38922251991374,0.0031283690379689815,2.6599026351315693e-06,0.0006819768930250638,12,0.005022642670346842,,0.001449786222133618,False,0.0,0.0,0,0.5,1.206766545515438,1.2086742975243718,0.07291945314363045,0.02,0.24072468733670965,1.2068440841749346,0.9618210306810532,-0.000618614279900933,0.7963633652980323,1.0,2.390892541458003,2.6392766261896505,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.006500000018498653,TRIP
00776,bolted_pp,flat,False,274275.9311204138,835.2159946533616,328.38922251991374,0.0031283690379689815,2.6599026351315693e-06,0.0006819768930250638,12,0.005022642670346842,,0.001449786222133618,False,0.0,0.0,0,1.0,1.2071985722075969,1.2086742975243718,0.07291945314363045,0.02,0.24072468733670965,1.2068440841749346,0.9619691172340504,-0.000618614279900933,0.7962011703724822,1.0,2.3228955221340684,2.73446935232859,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.006500000018498653,TRIP
00777,bolted_pp,train,False,171912.7961925082,764.1592976683136,224.96984165090618,0.0037764978185613287,8.885365455320215e-06,0.002916192880377991,12,0.0021681592177576797,,0.019784322175637477,True,0.47144843886699966,0.0,0,0.25,1.3423797514591813,1.3469788119143566,0.05547077335813414,0.029,0.18636271125383633,1.3411810241619784,0.988864238084333,-0.0012810328840024805,0.7361017887981616,1.0,2.000693308043014,2.0442777301924657,1.0,0.6222365438639903,1.0,0.467,0.0,0.25433832975514203,,0.25433832975514203,1.3419096601020564,1.0,0.0029028368495609413,TRIP
00777,bolted_pp,train,False,171912.7961925082,764.1592976683136,224.96984165090618,0.0037764978185613287,8.885365455320215e-06,0.002916192880377991,12,0.0021681592177576797,,0.019784322175637477,True,0.47144843886699966,0.0,0,0.5,1.3435847506880931,1.3484282724176373,0.05547077335813414,0.029,0.18636271125383633,1.3411810241619784,0.9891895554681649,-0.002299685575561936,0.7356840503820572,1.0,1.7669167923178015,2.1447800310116643,1.0,0.6222365438639903,1.0,0.467,0.0,0.25433832975514203,,0.25433832975514203,1.3423703477329127,1.0,0.0029028368495609413,TRIP
